keys,ru,en
"dialogDeathMemoryText4","Сердце пропустило удар. Страх поднялся откуда-то из глубин живота и холодным комом подступил к горлу. Я понял, что это конец. Времени что-то сделать у меня попросту не было. Всё, что мне оставалось, — это смотреть на приближающееся лезвие ржавого меча.","My heart skipped a beat. Fear rose up from somewhere deep in my belly, and a cold lump came to my throat. I knew it was the end. I didn't have time to do anything. All I could do was stare at the approaching blade of the rusty sword."
"dialogDeathMemoryText5","А затем я ощутил. Его величество Удар. Именно так, с большой буквы. От обычных ударов его отличало то, что он был нанесен нежитью. А нежить сильна, чудовищно. В следующее мгновение я ощутил, как сминается доспех, разрывается плоть, дробятся и ломаются кости. Красная пелена закрыла взор. Боль была адской, она поглотила все. Не осталось ничего кроме боли. А затем пришла она, тьма…","And then I felt it. His Majesty's Blow. That's right, capitalised. What made it different from ordinary blows was that it was delivered by the undead. And the undead are strong, monstrously so. In the next instant, I felt my armour crumple, my flesh tear, my bones shatter and break. A red veil covered my eyes. The pain was hellish, it consumed everything. There was nothing left but pain. And then it came, the darkness...."
"dialogListenToTheFeelingsText1","Блять, да что же за чувство. Хотя, очень похоже на то, что я испытал за мгновение до смерти. Не такое всепоглощающее, но ужасно настойчивое. Ба, да это же моя старая знакомая боль.","Fuck, what a feeling. It's very similar to what I felt moments before I died, though. Not as overpowering, but terribly persistent. Oh, that's my old familiar pain."
"dialogListenToTheFeelingsText2","Так ладно, я мыслю. Значит ли это, что я снова существую? Если да, то почему? Неужели я был поднят проклятием? Или стал жертвой какого-то нерадивого некроманта?","All right, I'm thinking. Does that mean I exist again? If so, why? Was I lifted by a curse? Or was I the victim of some careless necromancer?"
"dialogListenToTheFeelingsText3","Да вроде бы нет. Насколько я помню поднятые кадавры зачастую не отличались умом и сообразительностью. А я вот тут разлегся, философствую.","I don't think so. As I recall, the raised cadavras were often not known for their intelligence and cleverness. I'm just lying here, philosophising."
"dialogListenToTheFeelingsText4","Откуда я узнал, что лежу? Ну все просто, голова, спина и задница начинают замерзать, значит я нахожусь в горизонтальном положении, следовательно я лежу.","How did I know I was lying down? Well, it's simple, my head, back and arse start to freeze, so I'm in a horizontal position, therefore I'm lying down."
"dialogListenToTheFeelingsText5","Хм, я чувствую части тела. Может попробовать пошевелить чем-то?","Hmm, I can feel body parts. Maybe try moving something?"
"dialogListenToTheFeelingsOption1","Попробовать пошевелиться","Try to move."
"dialogTryToMoveText1","Ну, хуже, чем смерть уже ничего быть не может. Та-ак, ладно. Начнем с малого. Давай мизинец, ты справишься.","Well, there's nothing worse than death. Okay, okay. Let's start small. Come on, pinky, you can do it."
"dialogTryToMoveText2","Палец послушно согнулся, передал эстафету безымянному пальцу, а в затем и всей кисти. Как странно, рука слушается без каких-либо проблем. И не только рука, но и плечо. Хотя почему я удивляюсь, я уже довольно давно хорошо чувствую свое тело. Особенно эту ебучую боль под правой лопаткой. Пожалуй, хватит это терпеть.","The finger bent obediently, passed the baton to the ring finger, and then to the whole hand. Strangely, the hand obeyed without any problems. And not just the arm, but the shoulder as well. Though why am I surprised, I've been feeling my body well for quite some time now. Especially that fucking pain under my right shoulder blade. I think I've had enough of this."
"dialogTryToMoveOption1","Попытаться сесть","Try to sit down."
"dialogTryToMoveOption2","Осмотреть тело","Inspect your body."
"dialogInspectBodyText1","На первый взгляд ничего особенного. Кожа выглядит здоровой, привычного мне цвета. Торчащих костей или свисающих кусков мяса нигде не видать. Сердце привычно стучит в груди. В целом я не похож на типичного мертвеца. Хотя погодите, что-то все-таки не так. Я присмотрелся внимательнее к своей правой руке. Маленькая деталь не давала мне покоя. И через мгновение меня осенило. Шрам. Шрам, полученный в детстве, между большим и указательным пальцем. Его больше нет. Я опустил взгляд на грудь, туда, где я ожидал увидеть отметины от чудовищного удара, оборвавшего мою жизнь. Но… Ничего. Ну то есть мышцы, кости, кожа все на месте, но никаких шрамов.","At first glance, nothing special. The skin looks healthy, the same colour as I'm used to. No bones sticking out or pieces of meat hanging down anywhere. My heart beats in my chest. All in all, I don't look like a typical dead person. But wait, something's wrong. I took a closer look at my right hand. A small detail kept bugging me. And after a moment, it hit me. A scar. A scar from when I was a child, between my thumb and forefinger. It was gone. I lowered my gaze to my chest, to where I expected to see the marks of the monstrous blow that had ended my life. But... Nothing. I mean, the muscles, the bones, the skin were all there, but no scars."
"dialogTryToSitDownText1","Я сел и осмотрелся. (… описание места пробуждения …).","I sat up and looked around. (... description of the place of awakening ...)."
"dialogTryToSitDownOption1","Осмотреть место пробуждения","Inspect the waking area."
"dialogInspectText1","Первым делом я решил найти что же все это время так нещадно в меня впивалось. Бросив взгляд на мое лежбище я заметил предмет крайне необычной формы.","The first thing I decided to do was to find what had been poking me so mercilessly all this time. I glanced down at my rookery and noticed an oddly shaped object."
"dialogInspectOption1","Подобрать предмет","Pick an item."
"dialogPickUpItemText1","Выглядит крайне необычно, но я не чувствую какой-либо магии. Ну учитывая, что «…» практически ничего не весит и очень мал по размеру, оставлю себе как талисман","It looks extremely unusual, but I don't feel any magic. Well, considering that ‘...’ weighs practically nothing and is very small in size, I'll keep it as a talisman."
"dialogPickUpItemOption1","Оценить обстановку","Evaluate the situation."
"dialogEvaluateSituationText1","Что ж, не густо. Однако не без хороших новостей.","Well, it's not much. Not without some good news, though."
"dialogEvaluateSituationOption1","Хорошие новости","Good news."
"dialogEvaluateSituationOption2","Плохие новости","Bad news"
"dialogEvaluateSituationOption3","Что имеем","What we have"
"dialogGoodNewsText1","Хорошее – я, судя по всему, жив. Как? Отчего? Почему? Без малейшего понятия, очень хочется узнать, но спросить не у кого, да и задавать подобные вопросы чревато последствиями. Стоит держать в уме что в стране зверствует проклятие, поднимающее мертвецов. И хоть я и не похож на мертвеца, но факт того, что я умер, или умирал, остается фактом.","The good news is, I'm apparently alive. How? Why? I have no idea, I'd love to know, but there's no one to ask, and asking such questions is fraught with consequences. It's worth keeping in mind that there's a curse in the country that raises the dead. And though I do not look like a dead man, the fact remains that I am dead, or was dying."
"dialogBadNewsText1","Плохое – я гол буквально как сокол. Меня обобрали до трусов. Ладно, не страшно. Вещи дело наживное, все будет со временем.","The bad thing is I'm literally naked as a falcon. I've been stripped down to my underwear. Well, that's okay. It's just a matter of time before it's gone."
"dialogBadNewsText2","Следующий пункт – я не имею ни малейшего понятия, где нахожусь. Да, деревья, растения и вроде бы небо похожи на Мирейн. Значит будем придерживаться того факта, что я все еще в своем родном мире.","The next point is that I have no idea where I am. Yeah, the trees, plants, and sky seem to be similar to Mirein. So we'll stick with the fact that I'm still in my home world."
"dialogConclusionsText1","И так, что мы имеем. 1. Я жив. 2. Я вроде бы в своем родном мире, но мне неизвестно где я нахожусь. 3. Я гол, беден и голоден.","And so, what we have. 1. I'm alive. 2. I seem to be in my home world, but I have no idea where I am. 3. I am naked, poor and hungry."
"dialogConclusionsText2","Основная задача: Выяснить что со мной произошло. Помимо этого, мне нужно найти еду, одежду и подзаработать. Так же было бы неплохо сразиться с кем то, что бы понять, насколько все плохо с моими боевыми навыками.","Main objective: To find out what happened to me. Besides that, I need to find food, clothes, and make some money. It would also be nice to fight someone to see how bad my fighting skills are."
"dialogConclusionsOption1","Закрыть","End"
